STT,HoTen,NgayVao,ChucVu,BoPhan,GioiTinh,NgaySinh,NoiSinh,TonGiao,TrinhDo,TinhTrangHN,CMND,NgayCap,NoiCap,DiaChiThuongTru,DiaChiTamTru,EmailCongTy,EmailCaNhan,DienThoai,LienHeKhanCap,ChuTK,SoTK,NganHang
1,Nhan Vien 1,02/01/2024,POS01,DEP01,nam,02/01/1990,HN,None,Dai hoc,Doc than,100000000001,02/01/2010,HN,Dia chi TT 1,Dia chi TTam 1,nhanvien1@company.com,nhanvien1@gmail.com,0900000001,0900001001,Nhan Vien 1,7000000001,VCB
2,Nhan Vien 2,03/01/2024,POS02,DEP02,nu,03/01/1990,HN,None,Dai hoc,Doc than,100000000002,03/01/2010,HN,Dia chi TT 2,Dia chi TTam 2,nhanvien2@company.com,nhanvien2@gmail.com,0900000002,0900001002,Nhan Vien 2,7000000002,VCB
3,Nhan Vien 3,04/01/2024,POS03,DEP03,nam,04/01/1990,HN,None,Dai hoc,Doc than,100000000003,04/01/2010,HN,Dia chi TT 3,Dia chi TTam 3,nhanvien3@company.com,nhanvien3@gmail.com,0900000003,0900001003,Nhan Vien 3,7000000003,VCB
4,Nhan Vien 4,05/01/2024,POS04,DEP04,nu,05/01/1990,HN,None,Dai hoc,Doc than,100000000004,05/01/2010,HN,Dia chi TT 4,Dia chi TTam 4,nhanvien4@company.com,nhanvien4@gmail.com,0900000004,0900001004,Nhan Vien 4,7000000004,VCB
5,Nhan Vien 5,06/01/2024,POS05,DEP01,nam,06/01/1990,HN,None,Dai hoc,Doc than,100000000005,06/01/2010,HN,Dia chi TT 5,Dia chi TTam 5,nhanvien5@company.com,nhanvien5@gmail.com,0900000005,0900001005,Nhan Vien 5,7000000005,VCB
6,Nhan Vien 6,07/01/2024,POS01,DEP02,nu,07/01/1990,HN,None,Dai hoc,Doc than,100000000006,07/01/2010,HN,Dia chi TT 6,Dia chi TTam 6,nhanvien6@company.com,nhanvien6@gmail.com,0900000006,0900001006,Nhan Vien 6,7000000006,VCB
7,Nhan Vien 7,08/01/2024,POS02,DEP03,nam,08/01/1990,HN,None,Dai hoc,Doc than,100000000007,08/01/2010,HN,Dia chi TT 7,Dia chi TTam 7,nhanvien7@company.com,nhanvien7@gmail.com,0900000007,0900001007,Nhan Vien 7,7000000007,VCB
8,Nhan Vien 8,09/01/2024,POS03,DEP04,nu,09/01/1990,HN,None,Dai hoc,Doc than,100000000008,09/01/2010,HN,Dia chi TT 8,Dia chi TTam 8,nhanvien8@company.com,nhanvien8@gmail.com,0900000008,0900001008,Nhan Vien 8,7000000008,VCB
9,Nhan Vien 9,10/01/2024,POS04,DEP01,nam,10/01/1990,HN,None,Dai hoc,Doc than,100000000009,10/01/2010,HN,Dia chi TT 9,Dia chi TTam 9,nhanvien9@company.com,nhanvien9@gmail.com,0900000009,0900001009,Nhan Vien 9,7000000009,VCB
10,Nhan Vien 10,11/01/2024,POS05,DEP02,nu,11/01/1990,HN,None,Dai hoc,Doc than,100000000010,11/01/2010,HN,Dia chi TT 10,Dia chi TTam 10,nhanvien10@company.com,nhanvien10@gmail.com,0900000010,0900001010,Nhan Vien 10,7000000010,VCB
11,Nhan Vien 11,12/01/2024,POS01,DEP03,nam,12/01/1990,HN,None,Dai hoc,Doc than,100000000011,12/01/2010,HN,Dia chi TT 11,Dia chi TTam 11,nhanvien11@company.com,nhanvien11@gmail.com,0900000011,0900001011,Nhan Vien 11,7000000011,VCB
12,Nhan Vien 12,13/01/2024,POS02,DEP04,nu,13/01/1990,HN,None,Dai hoc,Doc than,100000000012,13/01/2010,HN,Dia chi TT 12,Dia chi TTam 12,nhanvien12@company.com,nhanvien12@gmail.com,0900000012,0900001012,Nhan Vien 12,7000000012,VCB
13,Nhan Vien 13,14/01/2024,POS03,DEP01,nam,14/01/1990,HN,None,Dai hoc,Doc than,100000000013,14/01/2010,HN,Dia chi TT 13,Dia chi TTam 13,nhanvien13@company.com,nhanvien13@gmail.com,0900000013,0900001013,Nhan Vien 13,7000000013,VCB
14,Nhan Vien 14,15/01/2024,POS04,DEP02,nu,15/01/1990,HN,None,Dai hoc,Doc than,100000000014,15/01/2010,HN,Dia chi TT 14,Dia chi TTam 14,nhanvien14@company.com,nhanvien14@gmail.com,0900000014,0900001014,Nhan Vien 14,7000000014,VCB
15,Nhan Vien 15,16/01/2024,POS05,DEP03,nam,16/01/1990,HN,None,Dai hoc,Doc than,100000000015,16/01/2010,HN,Dia chi TT 15,Dia chi TTam 15,nhanvien15@company.com,nhanvien15@gmail.com,0900000015,0900001015,Nhan Vien 15,7000000015,VCB
16,Nhan Vien 16,17/01/2024,POS01,DEP04,nu,17/01/1990,HN,None,Dai hoc,Doc than,100000000016,17/01/2010,HN,Dia chi TT 16,Dia chi TTam 16,nhanvien16@company.com,nhanvien16@gmail.com,0900000016,0900001016,Nhan Vien 16,7000000016,VCB
17,Nhan Vien 17,18/01/2024,POS02,DEP01,nam,18/01/1990,HN,None,Dai hoc,Doc than,100000000017,18/01/2010,HN,Dia chi TT 17,Dia chi TTam 17,nhanvien17@company.com,nhanvien17@gmail.com,0900000017,0900001017,Nhan Vien 17,7000000017,VCB
18,Nhan Vien 18,19/01/2024,POS03,DEP02,nu,19/01/1990,HN,None,Dai hoc,Doc than,100000000018,19/01/2010,HN,Dia chi TT 18,Dia chi TTam 18,nhanvien18@company.com,nhanvien18@gmail.com,0900000018,0900001018,Nhan Vien 18,7000000018,VCB
19,Nhan Vien 19,20/01/2024,POS04,DEP03,nam,20/01/1990,HN,None,Dai hoc,Doc than,100000000019,20/01/2010,HN,Dia chi TT 19,Dia chi TTam 19,nhanvien19@company.com,nhanvien19@gmail.com,0900000019,0900001019,Nhan Vien 19,7000000019,VCB
20,Nhan Vien 20,21/01/2024,POS05,DEP04,nu,21/01/1990,HN,None,Dai hoc,Doc than,100000000020,21/01/2010,HN,Dia chi TT 20,Dia chi TTam 20,nhanvien20@company.com,nhanvien20@gmail.com,0900000020,0900001020,Nhan Vien 20,7000000020,VCB
21,Nhan Vien 21,22/01/2024,POS01,DEP01,nam,22/01/1990,HN,None,Dai hoc,Doc than,100000000021,22/01/2010,HN,Dia chi TT 21,Dia chi TTam 21,nhanvien21@company.com,nhanvien21@gmail.com,0900000021,0900001021,Nhan Vien 21,7000000021,VCB
22,Nhan Vien 22,23/01/2024,POS02,DEP02,nu,23/01/1990,HN,None,Dai hoc,Doc than,100000000022,23/01/2010,HN,Dia chi TT 22,Dia chi TTam 22,nhanvien22@company.com,nhanvien22@gmail.com,0900000022,0900001022,Nhan Vien 22,7000000022,VCB
23,Nhan Vien 23,24/01/2024,POS03,DEP03,nam,24/01/1990,HN,None,Dai hoc,Doc than,100000000023,24/01/2010,HN,Dia chi TT 23,Dia chi TTam 23,nhanvien23@company.com,nhanvien23@gmail.com,0900000023,0900001023,Nhan Vien 23,7000000023,VCB
24,Nhan Vien 24,25/01/2024,POS04,DEP04,nu,25/01/1990,HN,None,Dai hoc,Doc than,100000000024,25/01/2010,HN,Dia chi TT 24,Dia chi TTam 24,nhanvien24@company.com,nhanvien24@gmail.com,0900000024,0900001024,Nhan Vien 24,7000000024,VCB
25,Nhan Vien 25,26/01/2024,POS05,DEP01,nam,26/01/1990,HN,None,Dai hoc,Doc than,100000000025,26/01/2010,HN,Dia chi TT 25,Dia chi TTam 25,nhanvien25@company.com,nhanvien25@gmail.com,0900000025,0900001025,Nhan Vien 25,7000000025,VCB
26,Nhan Vien 26,27/01/2024,POS01,DEP02,nu,27/01/1990,HN,None,Dai hoc,Doc than,100000000026,27/01/2010,HN,Dia chi TT 26,Dia chi TTam 26,nhanvien26@company.com,nhanvien26@gmail.com,0900000026,0900001026,Nhan Vien 26,7000000026,VCB
27,Nhan Vien 27,28/01/2024,POS02,DEP03,nam,28/01/1990,HN,None,Dai hoc,Doc than,100000000027,28/01/2010,HN,Dia chi TT 27,Dia chi TTam 27,nhanvien27@company.com,nhanvien27@gmail.com,0900000027,0900001027,Nhan Vien 27,7000000027,VCB
28,Nhan Vien 28,29/01/2024,POS03,DEP04,nu,29/01/1990,HN,None,Dai hoc,Doc than,100000000028,29/01/2010,HN,Dia chi TT 28,Dia chi TTam 28,nhanvien28@company.com,nhanvien28@gmail.com,0900000028,0900001028,Nhan Vien 28,7000000028,VCB
29,Nhan Vien 29,30/01/2024,POS04,DEP01,nam,30/01/1990,HN,None,Dai hoc,Doc than,100000000029,30/01/2010,HN,Dia chi TT 29,Dia chi TTam 29,nhanvien29@company.com,nhanvien29@gmail.com,0900000029,0900001029,Nhan Vien 29,7000000029,VCB
30,Nhan Vien 30,31/01/2024,POS05,DEP02,nu,31/01/1990,HN,None,Dai hoc,Doc than,100000000030,31/01/2010,HN,Dia chi TT 30,Dia chi TTam 30,nhanvien30@company.com,nhanvien30@gmail.com,0900000030,0900001030,Nhan Vien 30,7000000030,VCB
31,Nhan Vien 31,01/02/2024,POS01,DEP03,nam,01/02/1990,HN,None,Dai hoc,Doc than,100000000031,01/02/2010,HN,Dia chi TT 31,Dia chi TTam 31,nhanvien31@company.com,nhanvien31@gmail.com,0900000031,0900001031,Nhan Vien 31,7000000031,VCB
32,Nhan Vien 32,02/02/2024,POS02,DEP04,nu,02/02/1990,HN,None,Dai hoc,Doc than,100000000032,02/02/2010,HN,Dia chi TT 32,Dia chi TTam 32,nhanvien32@company.com,nhanvien32@gmail.com,0900000032,0900001032,Nhan Vien 32,7000000032,VCB
33,Nhan Vien 33,03/02/2024,POS03,DEP01,nam,03/02/1990,HN,None,Dai hoc,Doc than,100000000033,03/02/2010,HN,Dia chi TT 33,Dia chi TTam 33,nhanvien33@company.com,nhanvien33@gmail.com,0900000033,0900001033,Nhan Vien 33,7000000033,VCB
34,Nhan Vien 34,04/02/2024,POS04,DEP02,nu,04/02/1990,HN,None,Dai hoc,Doc than,100000000034,04/02/2010,HN,Dia chi TT 34,Dia chi TTam 34,nhanvien34@company.com,nhanvien34@gmail.com,0900000034,0900001034,Nhan Vien 34,7000000034,VCB
35,Nhan Vien 35,05/02/2024,POS05,DEP03,nam,05/02/1990,HN,None,Dai hoc,Doc than,100000000035,05/02/2010,HN,Dia chi TT 35,Dia chi TTam 35,nhanvien35@company.com,nhanvien35@gmail.com,0900000035,0900001035,Nhan Vien 35,7000000035,VCB
36,Nhan Vien 36,06/02/2024,POS01,DEP04,nu,06/02/1990,HN,None,Dai hoc,Doc than,100000000036,06/02/2010,HN,Dia chi TT 36,Dia chi TTam 36,nhanvien36@company.com,nhanvien36@gmail.com,0900000036,0900001036,Nhan Vien 36,7000000036,VCB
37,Nhan Vien 37,07/02/2024,POS02,DEP01,nam,07/02/1990,HN,None,Dai hoc,Doc than,100000000037,07/02/2010,HN,Dia chi TT 37,Dia chi TTam 37,nhanvien37@company.com,nhanvien37@gmail.com,0900000037,0900001037,Nhan Vien 37,7000000037,VCB
38,Nhan Vien 38,08/02/2024,POS03,DEP02,nu,08/02/1990,HN,None,Dai hoc,Doc than,100000000038,08/02/2010,HN,Dia chi TT 38,Dia chi TTam 38,nhanvien38@company.com,nhanvien38@gmail.com,0900000038,0900001038,Nhan Vien 38,7000000038,VCB
39,Nhan Vien 39,09/02/2024,POS04,DEP03,nam,09/02/1990,HN,None,Dai hoc,Doc than,100000000039,09/02/2010,HN,Dia chi TT 39,Dia chi TTam 39,nhanvien39@company.com,nhanvien39@gmail.com,0900000039,0900001039,Nhan Vien 39,7000000039,VCB
40,Nhan Vien 40,10/02/2024,POS05,DEP04,nu,10/02/1990,HN,None,Dai hoc,Doc than,100000000040,10/02/2010,HN,Dia chi TT 40,Dia chi TTam 40,nhanvien40@company.com,nhanvien40@gmail.com,0900000040,0900001040,Nhan Vien 40,7000000040,VCB
41,Nhan Vien 41,11/02/2024,POS01,DEP01,nam,11/02/1990,HN,None,Dai hoc,Doc than,100000000041,11/02/2010,HN,Dia chi TT 41,Dia chi TTam 41,nhanvien41@company.com,nhanvien41@gmail.com,0900000041,0900001041,Nhan Vien 41,7000000041,VCB
42,Nhan Vien 42,12/02/2024,POS02,DEP02,nu,12/02/1990,HN,None,Dai hoc,Doc than,100000000042,12/02/2010,HN,Dia chi TT 42,Dia chi TTam 42,nhanvien42@company.com,nhanvien42@gmail.com,0900000042,0900001042,Nhan Vien 42,7000000042,VCB
43,Nhan Vien 43,13/02/2024,POS03,DEP03,nam,13/02/1990,HN,None,Dai hoc,Doc than,100000000043,13/02/2010,HN,Dia chi TT 43,Dia chi TTam 43,nhanvien43@company.com,nhanvien43@gmail.com,0900000043,0900001043,Nhan Vien 43,7000000043,VCB
44,Nhan Vien 44,14/02/2024,POS04,DEP04,nu,14/02/1990,HN,None,Dai hoc,Doc than,100000000044,14/02/2010,HN,Dia chi TT 44,Dia chi TTam 44,nhanvien44@company.com,nhanvien44@gmail.com,0900000044,0900001044,Nhan Vien 44,7000000044,VCB
45,Nhan Vien 45,15/02/2024,POS05,DEP01,nam,15/02/1990,HN,None,Dai hoc,Doc than,100000000045,15/02/2010,HN,Dia chi TT 45,Dia chi TTam 45,nhanvien45@company.com,nhanvien45@gmail.com,0900000045,0900001045,Nhan Vien 45,7000000045,VCB
46,Nhan Vien 46,16/02/2024,POS01,DEP02,nu,16/02/1990,HN,None,Dai hoc,Doc than,100000000046,16/02/2010,HN,Dia chi TT 46,Dia chi TTam 46,nhanvien46@company.com,nhanvien46@gmail.com,0900000046,0900001046,Nhan Vien 46,7000000046,VCB
47,Nhan Vien 47,17/02/2024,POS02,DEP03,nam,17/02/1990,HN,None,Dai hoc,Doc than,100000000047,17/02/2010,HN,Dia chi TT 47,Dia chi TTam 47,nhanvien47@company.com,nhanvien47@gmail.com,0900000047,0900001047,Nhan Vien 47,7000000047,VCB
48,Nhan Vien 48,18/02/2024,POS03,DEP04,nu,18/02/1990,HN,None,Dai hoc,Doc than,100000000048,18/02/2010,HN,Dia chi TT 48,Dia chi TTam 48,nhanvien48@company.com,nhanvien48@gmail.com,0900000048,0900001048,Nhan Vien 48,7000000048,VCB
